70Q:acc 0.9466, nmi 0.8913, ari 0.8875, f1 0.9470
70Z:acc 0.9477, nmi 0.8935, ari 0.8901, f1 0.9481
70Z2:acc 0.9476, nmi 0.8939, ari 0.8898, f1 0.9481
70P:acc 0.9466, nmi 0.8910, ari 0.8876, f1 0.9470
71Q:acc 0.9467, nmi 0.8916, ari 0.8877, f1 0.9470
71Z:acc 0.9475, nmi 0.8933, ari 0.8898, f1 0.9479
71Z2:acc 0.9478, nmi 0.8942, ari 0.8902, f1 0.9483
71P:acc 0.9466, nmi 0.8910, ari 0.8876, f1 0.9470
72Q:acc 0.9467, nmi 0.8917, ari 0.8877, f1 0.9471
72Z:acc 0.9475, nmi 0.8933, ari 0.8898, f1 0.9479
72Z2:acc 0.9478, nmi 0.8944, ari 0.8902, f1 0.9484
72P:acc 0.9466, nmi 0.8910, ari 0.8876, f1 0.9470
73Q:acc 0.9466, nmi 0.8915, ari 0.8875, f1 0.9470
73Z:acc 0.9475, nmi 0.8932, ari 0.8896, f1 0.9479
73Z2:acc 0.9479, nmi 0.8946, ari 0.8904, f1 0.9484
73P:acc 0.9466, nmi 0.8910, ari 0.8876, f1 0.9470
74Q:acc 0.9466, nmi 0.8915, ari 0.8875, f1 0.9470
74Z:acc 0.9475, nmi 0.8933, ari 0.8898, f1 0.9480
74Z2:acc 0.9478, nmi 0.8945, ari 0.8901, f1 0.9483
74P:acc 0.9466, nmi 0.8910, ari 0.8876, f1 0.9470
75Q:acc 0.9466, nmi 0.8915, ari 0.8875, f1 0.9470
75Z:acc 0.9476, nmi 0.8935, ari 0.8899, f1 0.9480
75Z2:acc 0.9476, nmi 0.8944, ari 0.8898, f1 0.9481
75P:acc 0.9465, nmi 0.8909, ari 0.8874, f1 0.9469
76Q:acc 0.9466, nmi 0.8916, ari 0.8875, f1 0.9470
76Z:acc 0.9476, nmi 0.8936, ari 0.8899, f1 0.9480
76Z2:acc 0.9475, nmi 0.8943, ari 0.8897, f1 0.9481
76P:acc 0.9465, nmi 0.8909, ari 0.8874, f1 0.9469
77Q:acc 0.9466, nmi 0.8916, ari 0.8875, f1 0.9470
77Z:acc 0.9476, nmi 0.8936, ari 0.8899, f1 0.9480
77Z2:acc 0.9475, nmi 0.8943, ari 0.8897, f1 0.9481
77P:acc 0.9465, nmi 0.8907, ari 0.8874, f1 0.9469
78Q:acc 0.9466, nmi 0.8916, ari 0.8875, f1 0.9470
78Z:acc 0.9476, nmi 0.8936, ari 0.8899, f1 0.9480
78Z2:acc 0.9475, nmi 0.8943, ari 0.8897, f1 0.9481
78P:acc 0.9465, nmi 0.8909, ari 0.8874, f1 0.9469
79Q:acc 0.9467, nmi 0.8917, ari 0.8877, f1 0.9471
79Z:acc 0.9476, nmi 0.8935, ari 0.8899, f1 0.9480
79Z2:acc 0.9477, nmi 0.8946, ari 0.8900, f1 0.9482
79P:acc 0.9467, nmi 0.8912, ari 0.8877, f1 0.9470
80Q:acc 0.9466, nmi 0.8917, ari 0.8876, f1 0.9470
80Z:acc 0.9479, nmi 0.8941, ari 0.8906, f1 0.9483
80Z2:acc 0.9477, nmi 0.8946, ari 0.8900, f1 0.9482
80P:acc 0.9468, nmi 0.8913, ari 0.8879, f1 0.9471
81Q:acc 0.9466, nmi 0.8917, ari 0.8876, f1 0.9470
81Z:acc 0.9480, nmi 0.8942, ari 0.8907, f1 0.9484
81Z2:acc 0.9477, nmi 0.8946, ari 0.8900, f1 0.9482
81P:acc 0.9468, nmi 0.8915, ari 0.8881, f1 0.9472
82Q:acc 0.9467, nmi 0.8918, ari 0.8877, f1 0.9471
82Z:acc 0.9481, nmi 0.8943, ari 0.8909, f1 0.9485
82Z2:acc 0.9477, nmi 0.8946, ari 0.8900, f1 0.9482
82P:acc 0.9468, nmi 0.8915, ari 0.8881, f1 0.9472
83Q:acc 0.9466, nmi 0.8916, ari 0.8876, f1 0.9470
83Z:acc 0.9481, nmi 0.8944, ari 0.8909, f1 0.9485
83Z2:acc 0.9477, nmi 0.8946, ari 0.8900, f1 0.9482
83P:acc 0.9468, nmi 0.8915, ari 0.8881, f1 0.9472
84Q:acc 0.9466, nmi 0.8916, ari 0.8876, f1 0.9470
84Z:acc 0.9481, nmi 0.8944, ari 0.8909, f1 0.9485
84Z2:acc 0.9477, nmi 0.8946, ari 0.8900, f1 0.9482
84P:acc 0.9469, nmi 0.8917, ari 0.8882, f1 0.9473
85Q:acc 0.9467, nmi 0.8917, ari 0.8877, f1 0.9471
85Z:acc 0.9481, nmi 0.8944, ari 0.8909, f1 0.9485
85Z2:acc 0.9477, nmi 0.8946, ari 0.8900, f1 0.9482
85P:acc 0.9469, nmi 0.8917, ari 0.8882, f1 0.9473
86Q:acc 0.9467, nmi 0.8916, ari 0.8877, f1 0.9471
86Z:acc 0.9481, nmi 0.8944, ari 0.8909, f1 0.9485
86Z2:acc 0.9477, nmi 0.8946, ari 0.8900, f1 0.9482
86P:acc 0.9469, nmi 0.8917, ari 0.8882, f1 0.9473
87Q:acc 0.9467, nmi 0.8916, ari 0.8877, f1 0.9471
87Z:acc 0.9481, nmi 0.8944, ari 0.8909, f1 0.9485
87Z2:acc 0.9476, nmi 0.8945, ari 0.8898, f1 0.9481
87P:acc 0.9470, nmi 0.8918, ari 0.8884, f1 0.9473
88Q:acc 0.9467, nmi 0.8916, ari 0.8877, f1 0.9471
88Z:acc 0.9482, nmi 0.8946, ari 0.8910, f1 0.9485
88Z2:acc 0.9476, nmi 0.8945, ari 0.8898, f1 0.9481
88P:acc 0.9470, nmi 0.8918, ari 0.8884, f1 0.9473
89Q:acc 0.9467, nmi 0.8916, ari 0.8877, f1 0.9471
